num_reactions,num_likes,status_type_link,status_type_photo,status_type_status,status_type_video,Cluster
0.11231422505307856,0.09171974522292994,0,0,0,1,1
0.03184713375796178,0.03184713375796178,0,1,0,0,0
0.048195329087048835,0.04331210191082803,0,0,0,1,1
0.02356687898089172,0.02356687898089172,0,1,0,0,0
0.045222929936305736,0.04331210191082803,0,1,0,0,0
0.04607218683651805,0.04479830148619958,0,1,0,0,0
0.10679405520169852,0.08874734607218684,0,0,0,1,1
0.06263269639065817,0.055201698513800426,0,0,0,1,1
0.04309978768577495,0.04203821656050956,0,1,0,0,0
0.036093418259023353,0.03545647558386412,0,1,0,0,0
0.0445859872611465,0.04288747346072187,0,1,0,0,0
0.04713375796178344,0.045222929936305736,0,1,0,0,0
0.06645435244161359,0.06475583864118896,0,1,0,0,0
0.04437367303609342,0.042462845010615716,0,1,0,0,0
0.07346072186836518,0.07112526539278131,0,1,0,0,0
0.07048832271762208,0.0643312101910828,0,0,0,1,1
0.028662420382165606,0.024840764331210193,0,0,0,1,1
0.03184713375796178,0.02802547770700637,0,0,0,1,1
0.046921443736730364,0.04076433121019109,0,0,0,1,1
0.03227176220806794,0.031634819532908705,0,1,0,0,0
0.049681528662420385,0.046921443736730364,0,1,0,0,0
0.048195329087048835,0.04607218683651805,0,1,0,0,0
0.0208067940552017,0.020382165605095544,0,1,0,0,0
0.003821656050955414,0.003821656050955414,0,0,0,1,1
0.021656050955414015,0.021231422505307858,0,1,0,0,0
0.007855626326963907,0.007855626326963907,0,0,0,1,1
0.01592356687898089,0.014861995753715499,0,0,0,1,1
0.01910828025477707,0.018046709129511677,0,0,0,1,1
0.03078556263269639,0.02929936305732484,0,1,0,0,0
0.05371549893842888,0.04861995753715499,0,0,0,1,1
0.018046709129511677,0.017197452229299363,0,1,0,0,0
0.009554140127388535,0.008492569002123142,0,0,0,1,1
0.019532908704883226,0.018046709129511677,0,1,0,0,0
0.02653927813163482,0.024628450106157114,0,1,0,0,0
0.02526539278131635,0.024628450106157114,0,1,0,0,0
0.06220806794055202,0.059660297239915075,0,1,0,0,0
0.027176220806794056,0.023354564755838643,0,0,0,1,1
0.017834394904458598,0.016560509554140127,0,1,0,0,0
0.014012738853503185,0.012951167728237793,0,1,0,0,0
0.03630573248407643,0.03184713375796178,0,0,0,1,1
0.01910828025477707,0.016772823779193206,0,0,0,1,1
0.02951167728237792,0.025690021231422507,0,0,0,1,1
0.05010615711252654,0.042675159235668794,0,0,0,1,1
0.04777070063694268,0.040976645435244166,0,0,0,1,1
0.058386411889596604,0.055201698513800426,0,1,0,0,0
0.07898089171974522,0.07091295116772824,0,0,0,1,1
0.09447983014861996,0.08895966029723992,0,1,0,0,0
0.027176220806794056,0.024203821656050957,0,0,0,1,1
0.03949044585987261,0.034607218683651804,0,0,0,1,1
0.06560509554140127,0.053927813163481955,0,0,0,1,1
0.01634819532908705,0.01592356687898089,0,1,0,0,0
0.02526539278131635,0.021868365180467093,0,0,0,1,1
0.021231422505307858,0.020169851380042462,0,1,0,0,0
